time,x,temperature
1.0,0.0,-0.0050687194
1.0,0.07142857142857142,0.1426251
1.0,0.14285714285714285,0.28922486
1.0,0.21428571428571427,0.42905605
1.0,0.2857142857142857,0.5660364
1.0,0.3571428571428571,0.71270734
1.0,0.42857142857142855,0.8675602
1.0,0.5,0.9553831
1.0,0.5714285714285714,0.8666896
1.0,0.6428571428571428,0.7126269
1.0,0.7142857142857142,0.5693162
1.0,0.7857142857142857,0.4297629
1.0,0.8571428571428571,0.28610194
1.0,0.9285714285714285,0.13999009
1.0,1.0,-0.003191501
2.0,0.0,-0.0059432387
2.0,0.07142857142857142,0.1419239
2.0,0.14285714285714285,0.28887326
2.0,0.21428571428571427,0.4290986
2.0,0.2857142857142857,0.56631917
2.0,0.3571428571428571,0.71263176
2.0,0.42857142857142855,0.86572725
2.0,0.5,0.95196086
2.0,0.5714285714285714,0.8650518
2.0,0.6428571428571428,0.7127833
2.0,0.7142857142857142,0.56988734
2.0,0.7857142857142857,0.42996603
2.0,0.8571428571428571,0.28579575
2.0,0.9285714285714285,0.13934177
2.0,1.0,-0.003985822
3.0,0.0,-0.006748855
3.0,0.07142857142857142,0.14127266
3.0,0.14285714285714285,0.28855234
3.0,0.21428571428571427,0.429155
3.0,0.2857142857142857,0.5666041
3.0,0.3571428571428571,0.71255285
3.0,0.42857142857142855,0.8638926
3.0,0.5,0.9485298
3.0,0.5714285714285714,0.863411
3.0,0.6428571428571428,0.71292514
3.0,0.7142857142857142,0.5704252
3.0,0.7857142857142857,0.43014336
3.0,0.8571428571428571,0.2854964
3.0,0.9285714285714285,0.1387366
3.0,1.0,-0.0047132373
4.0,0.0,-0.007485211
4.0,0.07142857142857142,0.1406722
4.0,0.14285714285714285,0.28826177
4.0,0.21428571428571427,0.42922485
4.0,0.2857142857142857,0.56689054
4.0,0.3571428571428571,0.71247107
4.0,0.42857142857142855,0.8620599
4.0,0.5,0.9450937
4.0,0.5714285714285714,0.86176556
4.0,0.6428571428571428,0.7130497
4.0,0.7142857142857142,0.5709292
4.0,0.7857142857142857,0.43029684
4.0,0.8571428571428571,0.28520674
4.0,0.9285714285714285,0.13817596
4.0,1.0,-0.005374372
5.0,0.0,-0.008151829
5.0,0.07142857142857142,0.14012152
5.0,0.14285714285714285,0.28800106
5.0,0.21428571428571427,0.42930716
5.0,0.2857142857142857,0.56717867
5.0,0.3571428571428571,0.71238726
5.0,0.42857142857142855,0.8602322
5.0,0.5,0.94165593
5.0,0.5714285714285714,0.8601143
5.0,0.6428571428571428,0.7131544
5.0,0.7142857142857142,0.57139856
5.0,0.7857142857142857,0.4304284
5.0,0.8571428571428571,0.2849288
5.0,0.9285714285714285,0.13766062
5.0,1.0,-0.005970657
6.0,0.0,-0.008748829
6.0,0.07142857142857142,0.13962108
6.0,0.14285714285714285,0.28776973
6.0,0.21428571428571427,0.4294014
6.0,0.2857142857142857,0.5674673
6.0,0.3571428571428571,0.7123013
6.0,0.42857142857142855,0.8584127
6.0,0.5,0.9382213
6.0,0.5714285714285714,0.85845596
6.0,0.6428571428571428,0.71323615
6.0,0.7142857142857142,0.5718332
6.0,0.7857142857142857,0.4305399
6.0,0.8571428571428571,0.2846648
6.0,0.9285714285714285,0.13719082
6.0,1.0,-0.006503761
7.0,0.0,-0.009276152
7.0,0.07142857142857142,0.13917023
7.0,0.14285714285714285,0.28756666
7.0,0.21428571428571427,0.42950648
7.0,0.2857142857142857,0.56775564
7.0,0.3571428571428571,0.71221274
7.0,0.42857142857142855,0.85660416
7.0,0.5,0.9347933
7.0,0.5714285714285714,0.85678893
7.0,0.6428571428571428,0.71329314
7.0,0.7142857142857142,0.5722329
7.0,0.7857142857142857,0.43063325
7.0,0.8571428571428571,0.28441662
7.0,0.9285714285714285,0.13676643
7.0,1.0,-0.0069747865
8.0,0.0,-0.009734422
8.0,0.07142857142857142,0.1387682
8.0,0.14285714285714285,0.2873909
8.0,0.21428571428571427,0.42962092
8.0,0.2857142857142857,0.56804246
8.0,0.3571428571428571,0.712122
8.0,0.42857142857142855,0.85480946
8.0,0.5,0.93137676
8.0,0.5714285714285714,0.85511285
8.0,0.6428571428571428,0.7133234
8.0,0.7142857142857142,0.5725977
8.0,0.7857142857142857,0.43071067
8.0,0.8571428571428571,0.2841857
8.0,0.9285714285714285,0.13638765
8.0,1.0,-0.007386416
9.0,0.0,-0.010123849
9.0,0.07142857142857142,0.13841414
9.0,0.14285714285714285,0.28724176
9.0,0.21428571428571427,0.42974383
9.0,0.2857142857142857,0.568327
9.0,0.3571428571428571,0.7120289
9.0,0.42857142857142855,0.8530311
9.0,0.5,0.9279757
9.0,0.5714285714285714,0.8534265
9.0,0.6428571428571428,0.71332496
9.0,0.7142857142857142,0.572928
9.0,0.7857142857142857,0.4307738
9.0,0.8571428571428571,0.2839734
9.0,0.9285714285714285,0.1360532
9.0,1.0,-0.00774011
10.0,0.0,-0.010445476
10.0,0.07142857142857142,0.13810688
10.0,0.14285714285714285,0.28711724
10.0,0.21428571428571427,0.42987365
10.0,0.2857142857142857,0.56860775
10.0,0.3571428571428571,0.71193236
10.0,0.42857142857142855,0.8512712
10.0,0.5,0.9245952
10.0,0.5714285714285714,0.85172945
10.0,0.6428571428571428,0.71329623
10.0,0.7142857142857142,0.57322425
10.0,0.7857142857142857,0.43082464
10.0,0.8571428571428571,0.28378063
10.0,0.9285714285714285,0.13576281
10.0,1.0,-0.008038223
11.0,0.0,-0.010700405
11.0,0.07142857142857142,0.1378451
11.0,0.14285714285714285,0.28701591
11.0,0.21428571428571427,0.4300087
11.0,0.2857142857142857,0.5688835
11.0,0.3571428571428571,0.7118321
11.0,0.42857142857142855,0.8495318
11.0,0.5,0.9212392
11.0,0.5714285714285714,0.85002154
11.0,0.6428571428571428,0.71323615
11.0,0.7142857142857142,0.57348734
11.0,0.7857142857142857,0.43086457
11.0,0.8571428571428571,0.2836082
11.0,0.9285714285714285,0.13551515
11.0,1.0,-0.008283019
12.0,0.0,-0.010890365
12.0,0.07142857142857142,0.13762695
12.0,0.14285714285714285,0.28693634
12.0,0.21428571428571427,0.4301476
12.0,0.2857142857142857,0.5691528
12.0,0.3571428571428571,0.71172744
12.0,0.42857142857142855,0.8478144
12.0,0.5,0.917913
12.0,0.5714285714285714,0.8483029
12.0,0.6428571428571428,0.71314377
12.0,0.7142857142857142,0.5737178
12.0,0.7857142857142857,0.43089527
12.0,0.8571428571428571,0.2834561
12.0,0.9285714285714285,0.13530856
12.0,1.0,-0.008477092
13.0,0.0,-0.01101613
13.0,0.07142857142857142,0.13745129
13.0,0.14285714285714285,0.28687668
13.0,0.21428571428571427,0.43028826
13.0,0.2857142857142857,0.56941396
13.0,0.3571428571428571,0.71161705
13.0,0.42857142857142855,0.8461204
13.0,0.5,0.91462046
13.0,0.5714285714285714,0.8465739
13.0,0.6428571428571428,0.71301824
13.0,0.7142857142857142,0.57391673
13.0,0.7857142857142857,0.4309184
13.0,0.8571428571428571,0.28332478
13.0,0.9285714285714285,0.13514197
13.0,1.0,-0.008622706
14.0,0.0,-0.011080056
14.0,0.07142857142857142,0.13731569
14.0,0.14285714285714285,0.28683478
14.0,0.21428571428571427,0.43042922
14.0,0.2857142857142857,0.56966525
14.0,0.3571428571428571,0.71149987
14.0,0.42857142857142855,0.8444504
14.0,0.5,0.91136676
14.0,0.5714285714285714,0.8448356
14.0,0.6428571428571428,0.71285933
14.0,0.7142857142857142,0.5740846
14.0,0.7857142857142857,0.43093473
14.0,0.8571428571428571,0.28321385
14.0,0.9285714285714285,0.13501322
14.0,1.0,-0.0087227225
15.0,0.0,-0.011084497
15.0,0.07142857142857142,0.13721794
15.0,0.14285714285714285,0.2868085
15.0,0.21428571428571427,0.4305681
15.0,0.2857142857142857,0.56990546
15.0,0.3571428571428571,0.7113747
15.0,0.42857142857142855,0.84280545
15.0,0.5,0.90815574
15.0,0.5714285714285714,0.8430888
15.0,0.6428571428571428,0.7126666
15.0,0.7142857142857142,0.5742231
15.0,0.7857142857142857,0.4309457
15.0,0.8571428571428571,0.2831233
15.0,0.9285714285714285,0.13492054
15.0,1.0,-0.008779347
16.0,0.0,-0.011031449
16.0,0.07142857142857142,0.13715571
16.0,0.14285714285714285,0.28679574
16.0,0.21428571428571427,0.4307031
16.0,0.2857142857142857,0.5701328
16.0,0.3571428571428571,0.71124023
16.0,0.42857142857142855,0.8411856
16.0,0.5,0.90499216
16.0,0.5714285714285714,0.84133536
16.0,0.6428571428571428,0.712441
16.0,0.7142857142857142,0.57433313
16.0,0.7857142857142857,0.430952
16.0,0.8571428571428571,0.2830521
16.0,0.9285714285714285,0.13486195
16.0,1.0,-0.008795798
17.0,0.0,-0.010923862
17.0,0.07142857142857142,0.13712662
17.0,0.14285714285714285,0.28679407
17.0,0.21428571428571427,0.43083262
17.0,0.2857142857142857,0.570345
17.0,0.3571428571428571,0.7110949
17.0,0.42857142857142855,0.8395906
17.0,0.5,0.9018796
17.0,0.5714285714285714,0.83957726
17.0,0.6428571428571428,0.7121822
17.0,0.7142857142857142,0.57441586
17.0,0.7857142857142857,0.43095452
17.0,0.8571428571428571,0.28299987
17.0,0.9285714285714285,0.13483512
17.0,1.0,-0.0087744
18.0,0.0,-0.010764152
18.0,0.07142857142857142,0.13712782
18.0,0.14285714285714285,0.2868011
18.0,0.21428571428571427,0.43095404
18.0,0.2857142857142857,0.57054096
18.0,0.3571428571428571,0.71093744
18.0,0.42857142857142855,0.8380204
18.0,0.5,0.8988219
18.0,0.5714285714285714,0.8378168
18.0,0.6428571428571428,0.71189195
18.0,0.7142857142857142,0.5744727
18.0,0.7857142857142857,0.43095386
18.0,0.8571428571428571,0.2829653
18.0,0.9285714285714285,0.13483799
18.0,1.0,-0.008717835
19.0,0.0,-0.010556281
19.0,0.07142857142857142,0.13715643
19.0,0.14285714285714285,0.28681493
19.0,0.21428571428571427,0.43106616
19.0,0.2857142857142857,0.5707186
19.0,0.3571428571428571,0.71076626
19.0,0.42857142857142855,0.836474
19.0,0.5,0.8958226
19.0,0.5714285714285714,0.8360563
19.0,0.6428571428571428,0.71157056
19.0,0.7142857142857142,0.5745049
19.0,0.7857142857142857,0.43095058
19.0,0.8571428571428571,0.28294736
19.0,0.9285714285714285,0.13486809
19.0,1.0,-0.008628845
20.0,0.0,-0.010302991
20.0,0.07142857142857142,0.1372093
20.0,0.14285714285714285,0.2868324
20.0,0.21428571428571427,0.43116647
20.0,0.2857142857142857,0.570877
20.0,0.3571428571428571,0.7105797
20.0,0.42857142857142855,0.8349504
20.0,0.5,0.8928841
20.0,0.5714285714285714,0.8342989
20.0,0.6428571428571428,0.71121985
20.0,0.7142857142857142,0.57451373
20.0,0.7857142857142857,0.43094498
20.0,0.8571428571428571,0.28294516
20.0,0.9285714285714285,0.1349234
20.0,1.0,-0.008510232
21.0,0.0,-0.010008365
21.0,0.07142857142857142,0.13728374
21.0,0.14285714285714285,0.28685135
21.0,0.21428571428571427,0.4312535
21.0,0.2857142857142857,0.571014
21.0,0.3571428571428571,0.7103763
21.0,0.42857142857142855,0.8334488
21.0,0.5,0.89000934
21.0,0.5714285714285714,0.8325477
21.0,0.6428571428571428,0.7108415
21.0,0.7142857142857142,0.5745006
21.0,0.7857142857142857,0.43093735
21.0,0.8571428571428571,0.28295708
21.0,0.9285714285714285,0.13500124
21.0,1.0,-0.008364201
22.0,0.0,-0.00967592
22.0,0.07142857142857142,0.13737631
22.0,0.14285714285714285,0.28686982
22.0,0.21428571428571427,0.43132555
22.0,0.2857142857142857,0.5711288
22.0,0.3571428571428571,0.71015507
22.0,0.42857142857142855,0.8319672
22.0,0.5,0.88719994
22.0,0.5714285714285714,0.8308061
22.0,0.6428571428571428,0.71043736
22.0,0.7142857142857142,0.5744671
22.0,0.7857142857142857,0.43092787
22.0,0.8571428571428571,0.28298187
22.0,0.9285714285714285,0.13509941
22.0,1.0,-0.008193791
23.0,0.0,-0.009309769
23.0,0.07142857142857142,0.13748395
23.0,0.14285714285714285,0.28688508
23.0,0.21428571428571427,0.4313813
23.0,0.2857142857142857,0.5712201
23.0,0.3571428571428571,0.70991427
23.0,0.42857142857142855,0.83050424
23.0,0.5,0.88445765
23.0,0.5714285714285714,0.8290773
23.0,0.6428571428571428,0.7100095
23.0,0.7142857142857142,0.5744147
23.0,0.7857142857142857,0.43091697
23.0,0.8571428571428571,0.28301823
23.0,0.9285714285714285,0.1352157
23.0,1.0,-0.008001387
