time,method,x,y,temperature
1.0,explicit,0.0,0.0,0.0
1.0,explicit,0.0,0.07142857142857142,0.0
1.0,explicit,0.0,0.14285714285714285,0.0
1.0,explicit,0.0,0.21428571428571427,0.0
1.0,explicit,0.0,0.2857142857142857,0.0
1.0,explicit,0.0,0.3571428571428571,0.0
1.0,explicit,0.0,0.42857142857142855,0.0
1.0,explicit,0.0,0.5,0.0
1.0,explicit,0.0,0.5714285714285714,0.0
1.0,explicit,0.0,0.6428571428571428,0.0
1.0,explicit,0.0,0.7142857142857142,0.0
1.0,explicit,0.0,0.7857142857142857,0.0
1.0,explicit,0.0,0.8571428571428571,0.0
1.0,explicit,0.0,0.9285714285714285,0.0
1.0,explicit,0.0,1.0,0.0
1.0,explicit,0.07142857142857142,0.0,0.0
1.0,explicit,0.07142857142857142,0.07142857142857142,0.02040816326530612
1.0,explicit,0.07142857142857142,0.14285714285714285,0.04081632653061224
1.0,explicit,0.07142857142857142,0.21428571428571427,0.06122448979591836
1.0,explicit,0.07142857142857142,0.2857142857142857,0.08163265306122448
1.0,explicit,0.07142857142857142,0.3571428571428571,0.10204071152624379
1.0,explicit,0.07142857142857142,0.42857142857142855,0.12242643867013873
1.0,explicit,0.07142857142857142,0.5,0.14122569830111242
1.0,explicit,0.07142857142857142,0.5714285714285714,0.12242643867013875
1.0,explicit,0.07142857142857142,0.6428571428571428,0.10204071152624383
1.0,explicit,0.07142857142857142,0.7142857142857142,0.08163265306122451
1.0,explicit,0.07142857142857142,0.7857142857142857,0.061224489795918366
1.0,explicit,0.07142857142857142,0.8571428571428571,0.040816326530612256
1.0,explicit,0.07142857142857142,0.9285714285714285,0.020408163265306145
1.0,explicit,0.07142857142857142,1.0,0.0
1.0,explicit,0.14285714285714285,0.0,0.0
1.0,explicit,0.14285714285714285,0.07142857142857142,0.04081632653061224
1.0,explicit,0.14285714285714285,0.14285714285714285,0.08163265306122448
1.0,explicit,0.14285714285714285,0.21428571428571427,0.12244897959183672
1.0,explicit,0.14285714285714285,0.2857142857142857,0.16326530612244897
1.0,explicit,0.14285714285714285,0.3571428571428571,0.20408142305248758
1.0,explicit,0.14285714285714285,0.42857142857142855,0.24485287734027747
1.0,explicit,0.14285714285714285,0.5,0.28245139660222485
1.0,explicit,0.14285714285714285,0.5714285714285714,0.2448528773402775
1.0,explicit,0.14285714285714285,0.6428571428571428,0.20408142305248766
1.0,explicit,0.14285714285714285,0.7142857142857142,0.16326530612244902
1.0,explicit,0.14285714285714285,0.7857142857142857,0.12244897959183673
1.0,explicit,0.14285714285714285,0.8571428571428571,0.08163265306122451
1.0,explicit,0.14285714285714285,0.9285714285714285,0.04081632653061229
1.0,explicit,0.14285714285714285,1.0,0.0
1.0,explicit,0.21428571428571427,0.0,0.0
1.0,explicit,0.21428571428571427,0.07142857142857142,0.06122448979591836
1.0,explicit,0.21428571428571427,0.14285714285714285,0.12244897959183672
1.0,explicit,0.21428571428571427,0.21428571428571427,0.18367346938775508
1.0,explicit,0.21428571428571427,0.2857142857142857,0.24489795918367344
1.0,explicit,0.21428571428571427,0.3571428571428571,0.3061221345787314
1.0,explicit,0.21428571428571427,0.42857142857142855,0.3672793160104162
1.0,explicit,0.21428571428571427,0.5,0.4236770949033372
1.0,explicit,0.21428571428571427,0.5714285714285714,0.36727931601041625
1.0,explicit,0.21428571428571427,0.6428571428571428,0.3061221345787315
1.0,explicit,0.21428571428571427,0.7142857142857142,0.24489795918367355
1.0,explicit,0.21428571428571427,0.7857142857142857,0.1836734693877551
1.0,explicit,0.21428571428571427,0.8571428571428571,0.12244897959183677
1.0,explicit,0.21428571428571427,0.9285714285714285,0.061224489795918435
1.0,explicit,0.21428571428571427,1.0,0.0
1.0,explicit,0.2857142857142857,0.0,0.0
1.0,explicit,0.2857142857142857,0.07142857142857142,0.08163265306122448
1.0,explicit,0.2857142857142857,0.14285714285714285,0.16326530612244897
1.0,explicit,0.2857142857142857,0.21428571428571427,0.24489795918367344
1.0,explicit,0.2857142857142857,0.2857142857142857,0.32653061224489793
1.0,explicit,0.2857142857142857,0.3571428571428571,0.40816284610497516
1.0,explicit,0.2857142857142857,0.42857142857142855,0.48970575468055494
