time,method,x,temperature
1.0,explicit,0.0,0.0
1.0,explicit,0.07142857142857142,0.14285714285714285
1.0,explicit,0.14285714285714285,0.2857142857142857
1.0,explicit,0.21428571428571427,0.42857142857142855
1.0,explicit,0.2857142857142857,0.5714285714285714
1.0,explicit,0.3571428571428571,0.7142849806837066
1.0,explicit,0.42857142857142855,0.8569850706909713
1.0,explicit,0.5,0.9885798881077869
1.0,explicit,0.5714285714285714,0.8569850706909714
1.0,explicit,0.6428571428571428,0.7142849806837068
1.0,explicit,0.7142857142857142,0.5714285714285716
1.0,explicit,0.7857142857142857,0.4285714285714286
1.0,explicit,0.8571428571428571,0.2857142857142858
1.0,explicit,0.9285714285714285,0.14285714285714302
1.0,explicit,1.0,0.0
2.0,explicit,0.0,0.0
2.0,explicit,0.07142857142857142,0.14285714285714285
2.0,explicit,0.14285714285714285,0.2857142857142857
2.0,explicit,0.21428571428571427,0.42857142857142855
2.0,explicit,0.2857142857142857,0.5714285613831067
2.0,explicit,0.3571428571428571,0.7142828401504717
2.0,explicit,0.42857142857142855,0.8568330023731765
2.0,explicit,0.5,0.9849759419007755
2.0,explicit,0.5714285714285714,0.8568330023731766
2.0,explicit,0.6428571428571428,0.7142828401504719
2.0,explicit,0.7142857142857142,0.5714285613831069
2.0,explicit,0.7857142857142857,0.4285714285714286
2.0,explicit,0.8571428571428571,0.2857142857142858
2.0,explicit,0.9285714285714285,0.14285714285714302
2.0,explicit,1.0,0.0
3.0,explicit,0.0,0.0
3.0,explicit,0.07142857142857142,0.14285714285714285
3.0,explicit,0.14285714285714285,0.2857142857124021
3.0,explicit,0.21428571428571427,0.4285714277649285
3.0,explicit,0.2857142857142857,0.5714284272645277
3.0,explicit,0.3571428571428571,0.7142719234540044
3.0,explicit,0.42857142857142855,0.8563957265975986
3.0,explicit,0.5,0.9780478286987915
3.0,explicit,0.5714285714285714,0.8563957265975987
3.0,explicit,0.6428571428571428,0.7142719234540046
3.0,explicit,0.7142857142857142,0.5714284272645279
3.0,explicit,0.7857142857142857,0.42857142776492857
3.0,explicit,0.8571428571428571,0.2857142857124022
3.0,explicit,0.9285714285714285,0.14285714285714302
3.0,explicit,1.0,0.0
4.0,explicit,0.0,0.0
4.0,explicit,0.07142857142857142,0.14285714285694145
4.0,explicit,0.14285714285714285,0.2857142856639888
4.0,explicit,0.21428571428571427,0.42857142138221077
4.0,explicit,0.2857142857142857,0.571427927542839
4.0,explicit,0.3571428571428571,0.7142486422080975
4.0,explicit,0.42857142857142855,0.8557969953578702
4.0,explicit,0.5,0.9714680979761046
4.0,explicit,0.5714285714285714,0.8557969953578703
4.0,explicit,0.6428571428571428,0.7142486422080977
4.0,explicit,0.7142857142857142,0.5714279275428392
4.0,explicit,0.7857142857142857,0.4285714213822108
4.0,explicit,0.8571428571428571,0.28571428566398893
4.0,explicit,0.9285714285714285,0.14285714285694162
4.0,explicit,1.0,0.0
5.0,explicit,0.0,0.0
5.0,explicit,0.07142857142857142,0.14285714285625825
5.0,explicit,0.14285714285714285,0.2857142855669191
5.0,explicit,0.21428571428571427,0.42857141276146205
5.0,explicit,0.2857142857142857,0.5714274374375806
5.0,explicit,0.3571428571428571,0.7142312193241735
5.0,explicit,0.42857142857142855,0.8554426492645677
5.0,explicit,0.5,0.968300249578083
5.0,explicit,0.5714285714285714,0.8554426492645678
5.0,explicit,0.6428571428571428,0.7142312193241738
5.0,explicit,0.7142857142857142,0.5714274374375808
5.0,explicit,0.7857142857142857,0.42857141276146216
5.0,explicit,0.8571428571428571,0.2857142855669192
5.0,explicit,0.9285714285714285,0.1428571428562584
5.0,explicit,1.0,0.0
6.0,explicit,0.0,0.0
6.0,explicit,0.07142857142857142,0.14285714284941603
6.0,explicit,0.14285714285714285,0.28571428494104484
6.0,explicit,0.21428571428571427,0.42857137318176214
6.0,explicit,0.2857142857142857,0.5714257274875174
6.0,explicit,0.3571428571428571,0.714182880878193
6.0,explicit,0.42857142857142855,0.8546341429904893
6.0,explicit,0.5,0.9621926713432631
6.0,explicit,0.5714285714285714,0.8546341429904895
6.0,explicit,0.6428571428571428,0.7141828808781933
6.0,explicit,0.7142857142857142,0.5714257274875176
6.0,explicit,0.7857142857142857,0.42857137318176225
6.0,explicit,0.8571428571428571,0.28571428494104495
6.0,explicit,0.9285714285714285,0.14285714284941617
6.0,explicit,1.0,0.0
7.0,explicit,0.0,0.0
7.0,explicit,0.07142857142857142,0.14285714281884948
7.0,explicit,0.14285714285714285,0.2857142829736658
7.0,explicit,0.21428571428571427,0.42857128109759135
7.0,explicit,0.2857142857142857,0.5714226690432825
7.0,explicit,0.3571428571428571,0.7141144090320104
7.0,explicit,0.42857142857142855,0.8537048867629183
7.0,explicit,0.5,0.9563696645441803
7.0,explicit,0.5714285714285714,0.8537048867629184
