time,x,y,temperature
1.0,0.0,0.0,-0.010648582
1.0,0.07142857142857142,0.0,-0.0013196878
1.0,0.14285714285714285,0.0,0.002957577
1.0,0.21428571428571427,0.0,0.002434412
1.0,0.2857142857142857,0.0,-0.00092045404
1.0,0.3571428571428571,0.0,-0.0023992863
1.0,0.42857142857142855,0.0,0.0016667303
1.0,0.5,0.0,0.0046999585
1.0,0.5714285714285714,0.0,0.0007296745
1.0,0.6428571428571428,0.0,-0.0025256034
1.0,0.7142857142857142,0.0,-0.0012097154
1.0,0.7857142857142857,0.0,0.0011178274
1.0,0.8571428571428571,0.0,0.0016688425
1.0,0.9285714285714285,0.0,-0.000520153
1.0,1.0,0.0,-0.0062838253
1.0,0.0,0.07142857142857142,-0.0014115646
1.0,0.07142857142857142,0.07142857142857142,0.022849573
1.0,0.14285714285714285,0.07142857142857142,0.044328466
1.0,0.21428571428571427,0.07142857142857142,0.06283868
1.0,0.2857142857142857,0.07142857142857142,0.07966795
1.0,0.3571428571428571,0.07142857142857142,0.098956764
1.0,0.42857142857142855,0.07142857142857142,0.12281285
1.0,0.5,0.07142857142857142,0.13511656
1.0,0.5714285714285714,0.07142857142857142,0.12162042
1.0,0.6428571428571428,0.07142857142857142,0.09965056
1.0,0.7142857142857142,0.07142857142857142,0.08046657
1.0,0.7857142857142857,0.07142857142857142,0.062179685
1.0,0.8571428571428571,0.07142857142857142,0.043467462
1.0,0.9285714285714285,0.07142857142857142,0.023974845
1.0,1.0,0.07142857142857142,0.0024178717
1.0,0.0,0.14285714285714285,0.0027382337
1.0,0.07142857142857142,0.14285714285714285,0.04315514
1.0,0.14285714285714285,0.14285714285714285,0.08348488
1.0,0.21428571428571427,0.14285714285714285,0.12292005
1.0,0.2857142857142857,0.14285714285714285,0.16172577
1.0,0.3571428571428571,0.14285714285714285,0.2034101
1.0,0.42857142857142855,0.14285714285714285,0.24967378
1.0,0.5,0.14285714285714285,0.2736141
1.0,0.5714285714285714,0.14285714285714285,0.24865541
1.0,0.6428571428571428,0.14285714285714285,0.20525533
1.0,0.7142857142857142,0.14285714285714285,0.16314603
1.0,0.7857142857142857,0.14285714285714285,0.122083485
1.0,0.8571428571428571,0.14285714285714285,0.08238145
1.0,0.9285714285714285,0.14285714285714285,0.043872118
1.0,1.0,0.14285714285714285,0.0045850147
1.0,0.0,0.21428571428571427,0.0031896383
1.0,0.07142857142857142,0.21428571428571427,0.061087973
1.0,0.14285714285714285,0.21428571428571427,0.12154162
1.0,0.21428571428571427,0.21428571428571427,0.18270797
1.0,0.2857142857142857,0.21428571428571427,0.24336609
1.0,0.3571428571428571,0.21428571428571427,0.3063671
1.0,0.42857142857142855,0.21428571428571427,0.37463364
1.0,0.5,0.21428571428571427,0.41095746
1.0,0.5714285714285714,0.21428571428571427,0.37328753
1.0,0.6428571428571428,0.21428571428571427,0.30844977
1.0,0.7142857142857142,0.21428571428571427,0.24408868
1.0,0.7857142857142857,0.21428571428571427,0.1808978
1.0,0.8571428571428571,0.21428571428571427,0.12020069
1.0,0.9285714285714285,0.21428571428571427,0.06148325
1.0,1.0,0.21428571428571427,0.0025764722
1.0,0.0,0.2857142857142857,0.0013933964
1.0,0.07142857142857142,0.2857142857142857,0.07850019
1.0,0.14285714285714285,0.2857142857142857,0.16024885
1.0,0.21428571428571427,0.2857142857142857,0.24321547
1.0,0.2857142857142857,0.2857142857142857,0.3244221
1.0,0.3571428571428571,0.2857142857142857,0.40644765
1.0,0.42857142857142855,0.2857142857142857,0.49507257
1.0,0.5,0.2857142857142857,0.54390484
1.0,0.5714285714285714,0.2857142857142857,0.4928889
1.0,0.6428571428571428,0.2857142857142857,0.40797767
1.0,0.7142857142857142,0.2857142857142857,0.32388008
1.0,0.7857142857142857,0.2857142857142857,0.24096367
1.0,0.8571428571428571,0.2857142857142857,0.15994081
1.0,0.9285714285714285,0.2857142857142857,0.07979967
1.0,1.0,0.2857142857142857,-0.00041860156
1.0,0.0,0.3571428571428571,-0.00063232705
1.0,0.07142857142857142,0.3571428571428571,0.09776692
1.0,0.14285714285714285,0.3571428571428571,0.20208046
1.0,0.21428571428571427,0.3571428571428571,0.30691433
1.0,0.2857142857142857,0.3571428571428571,0.40780744
1.0,0.3571428571428571,0.3571428571428571,0.5079406
1.0,0.42857142857142855,0.3571428571428571,0.6168632
1.0,0.5,0.3571428571428571,0.6796656
1.0,0.5714285714285714,0.3571428571428571,0.6146489
1.0,0.6428571428571428,0.3571428571428571,0.50923413
1.0,0.7142857142857142,0.3571428571428571,0.40673456
1.0,0.7857142857142857,0.3571428571428571,0.30549186
1.0,0.8571428571428571,0.3571428571428571,0.20377508
1.0,0.9285714285714285,0.3571428571428571,0.10079133
1.0,1.0,0.3571428571428571,-0.0015215259
1.0,0.0,0.42857142857142855,0.0013672914
1.0,0.07142857142857142,0.42857142857142855,0.12132315
1.0,0.14285714285714285,0.42857142857142855,0.24809727
1.0,0.21428571428571427,0.42857142857142855,0.3744841
1.0,0.2857142857142857,0.42857142857142855,0.4953948
1.0,0.3571428571428571,0.42857142857142855,0.6153973
1.0,0.42857142857142855,0.42857142857142855,0.747068
1.0,0.5,0.42857142857142855,0.82740194
1.0,0.5714285714285714,0.42857142857142855,0.7480821
1.0,0.6428571428571428,0.42857142857142855,0.6178497
1.0,0.7142857142857142,0.42857142857142855,0.4942992
1.0,0.7857142857142857,0.42857142857142855,0.37285385
1.0,0.8571428571428571,0.42857142857142855,0.24890947
1.0,0.9285714285714285,0.42857142857142855,0.12296663
1.0,1.0,0.42857142857142855,0.00040155835
1.0,0.0,0.5,0.00525585
1.0,0.07142857142857142,0.5,0.13616708
1.0,0.14285714285714285,0.5,0.27446118
1.0,0.21428571428571427,0.5,0.41260788
1.0,0.2857142857142857,0.5,0.54600006
1.0,0.3571428571428571,0.5,0.6799474
1.0,0.42857142857142855,0.5,0.8265725
1.0,0.5,0.5,0.91931564
1.0,0.5714285714285714,0.5,0.83246446
1.0,0.6428571428571428,0.5,0.6840154
1.0,0.7142857142857142,0.5,0.54635596
1.0,0.7857142857142857,0.5,0.41229862
1.0,0.8571428571428571,0.5,0.27486345
1.0,0.9285714285714285,0.5,0.13581578
1.0,1.0,0.5,0.0029423404
1.0,0.0,0.5714285714285714,0.002132671
1.0,0.07142857142857142,0.5714285714285714,0.12213883
1.0,0.14285714285714285,0.5714285714285714,0.24706629
1.0,0.21428571428571427,0.5714285714285714,0.37168258
1.0,0.2857142857142857,0.5714285714285714,0.49366102
1.0,0.3571428571428571,0.5714285714285714,0.6176535
1.0,0.42857142857142855,0.5714285714285714,0.7495507
1.0,0.5,0.5714285714285714,0.8277863
1.0,0.5714285714285714,0.5714285714285714,0.74709886
1.0,0.6428571428571428,0.5714285714285714,0.6125292
1.0,0.7142857142857142,0.5714285714285714,0.4915
1.0,0.7857142857142857,0.5714285714285714,0.3736966
1.0,0.8571428571428571,0.5714285714285714,0.25042406
1.0,0.9285714285714285,0.5714285714285714,0.123637855
1.0,1.0,0.5714285714285714,0.0014758203
1.0,0.0,0.6428571428571428,-0.0005028602
1.0,0.07142857142857142,0.6428571428571428,0.09975959
1.0,0.14285714285714285,0.6428571428571428,0.20199196
1.0,0.21428571428571427,0.6428571428571428,0.3039593
1.0,0.2857142857142857,0.6428571428571428,0.40586454
1.0,0.3571428571428571,0.6428571428571428,0.5115154
1.0,0.42857142857142855,0.6428571428571428,0.6209723
1.0,0.5,0.6428571428571428,0.68120027
1.0,0.5714285714285714,0.6428571428571428,0.61684704
1.0,0.6428571428571428,0.6428571428571428,0.50617355
1.0,0.7142857142857142,0.6428571428571428,0.40423638
1.0,0.7857142857142857,0.6428571428571428,0.30551606
1.0,0.8571428571428571,0.6428571428571428,0.20366016
1.0,0.9285714285714285,0.6428571428571428,0.09982836
1.0,1.0,0.6428571428571428,-0.0005034711
1.0,0.0,0.7142857142857142,-0.0005111676
1.0,0.07142857142857142,0.7142857142857142,0.08008164
1.0,0.14285714285714285,0.7142857142857142,0.16051438
1.0,0.21428571428571427,0.7142857142857142,0.24048144
1.0,0.2857142857142857,0.7142857142857142,0.32149467
1.0,0.3571428571428571,0.7142857142857142,0.4070331
1.0,0.42857142857142855,0.7142857142857142,0.49515077
1.0,0.5,0.7142857142857142,0.54277027
1.0,0.5714285714285714,0.7142857142857142,0.49629346
1.0,0.6428571428571428,0.7142857142857142,0.4088657
1.0,0.7142857142857142,0.7142857142857142,0.32441244
1.0,0.7857142857142857,0.7142857142857142,0.24315527
1.0,0.8571428571428571,0.7142857142857142,0.16142198
1.0,0.9285714285714285,0.7142857142857142,0.07946878
1.0,1.0,0.7142857142857142,6.65281e-05
1.0,0.0,0.7857142857142857,0.00031585433
1.0,0.07142857142857142,0.7857142857142857,0.06253645
1.0,0.14285714285714285,0.7857142857142857,0.12275854
1.0,0.21428571428571427,0.7857142857142857,0.18162096
1.0,0.2857142857142857,0.7857142857142857,0.24129936
1.0,0.3571428571428571,0.7857142857142857,0.30543137
1.0,0.42857142857142855,0.7857142857142857,0.3718299
1.0,0.5,0.7857142857142857,0.4074047
1.0,0.5714285714285714,0.7857142857142857,0.3749898
1.0,0.6428571428571428,0.7857142857142857,0.30940282
1.0,0.7142857142857142,0.7857142857142857,0.24456236
1.0,0.7857142857142857,0.7857142857142857,0.18329951
1.0,0.8571428571428571,0.7857142857142857,0.12265763
1.0,0.9285714285714285,0.7857142857142857,0.061627008
1.0,1.0,0.7857142857142857,0.0011023749
1.0,0.0,0.8571428571428571,0.00028902479
1.0,0.07142857142857142,0.8571428571428571,0.045113176
1.0,0.14285714285714285,0.8571428571428571,0.08599372
1.0,0.21428571428571427,0.8571428571428571,0.124006316
